Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,68.0,24.876
60,62.0,15.186
70,73.6,7.473
80,72.1,7.035
90,67.3,20.445
100,69.6,7.046
110,35.8,13.333
120,21.7,7.564
130,15.8,6.161
140,24.2,16.357
150,16.3,7.128
160,10.9,3.176
170,21.6,9.841
180,28.6,11.342
190,22.8,9.228
200,14.5,7.632
210,23.0,10.526
220,26.1,12.267
230,15.0,7.733
240,9.2,0.872
250,14.3,7.363
260,18.4,9.677
270,18.5,8.358
280,17.2,7.318
290,21.0,8.234
300,20.3,7.9
310,21.3,8.21
320,17.9,19.862
330,11.7,5.745
340,25.9,7.88
350,26.3,10.199
360,23.2,8.352
370,18.8,13.06
380,25.2,12.262
390,16.4,7.172
400,9.2,0.872
410,22.8,8.01
420,12.4,6.651
430,19.2,6.705
440,18.1,7.79
450,13.2,5.98
460,21.2,7.769
470,19.6,7.632
480,13.3,6.543
490,13.8,7.547
500,19.2,7.6
510,18.1,8.312
520,27.5,8.535
530,15.5,8.102
540,12.0,6.419
550,12.0,5.95
560,11.1,5.804
570,13.0,6.403
580,24.6,9.521
590,23.3,7.484
600,19.2,6.954
610,19.0,7.099
620,12.9,6.139
630,21.1,7.595
640,11.7,4.859
650,25.3,9.349
660,17.7,7.198
670,14.7,6.679
680,22.3,7.1
690,12.9,5.856
700,22.0,9.92
710,22.8,2.891
720,9.8,1.077
730,11.7,1.187
740,26.0,5.983
750,13.2,5.192
760,18.0,7.733
770,19.2,6.462
780,19.6,6.499
790,26.3,7.267
800,21.7,7.015
810,9.7,1.792
820,24.1,5.873
830,25.2,7.985
840,9.4,0.663
850,22.4,6.829
860,20.6,7.255
870,14.8,5.231
880,28.7,4.649
890,27.6,7.297
900,25.7,7.142
910,9.2,0.872
920,27.4,8.297
930,22.9,6.268
940,25.7,5.78
950,25.8,6.462
960,16.4,5.589
970,27.8,6.274
980,19.9,6.534
990,27.5,9.405
